run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR4074260	PRJNA340216	SAMN05710167	SRX2058869	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/000/SRR4074260/SRR4074260.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/000/SRR4074260	
SRR4074262	PRJNA340216	SAMN05710177	SRX2058871	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/002/SRR4074262/SRR4074262.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/002/SRR4074262	
SRR4074267	PRJNA340216	SAMN05710182	SRX2058876	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/007/SRR4074267/SRR4074267.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/007/SRR4074267	
SRR4074278	PRJNA340216	SAMN05710185	SRX2058880	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/008/SRR4074278/SRR4074278.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/008/SRR4074278	
SRR4074287	PRJNA340216	SAMN05710168	SRX2058882	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/007/SRR4074287/SRR4074287.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/007/SRR4074287	
SRR4074323	PRJNA340216	SAMN05710189	SRX2058890	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/003/SRR4074323/SRR4074323.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/003/SRR4074323	
SRR4074353	PRJNA340216	SAMN05710171	SRX2058900	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/003/SRR4074353/SRR4074353.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/003/SRR4074353	
SRR4074354	PRJNA340216	SAMN05710172	SRX2058901	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/004/SRR4074354/SRR4074354.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/004/SRR4074354	
SRR4074259	PRJNA340216	SAMN05710166	SRX2058868	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/009/SRR4074259/SRR4074259.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/009/SRR4074259	
SRR4074261	PRJNA340216	SAMN05710176	SRX2058870	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/001/SRR4074261/SRR4074261.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/001/SRR4074261	
SRR4074264	PRJNA340216	SAMN05710179	SRX2058873	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/004/SRR4074264/SRR4074264.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/004/SRR4074264	
SRR4074268	PRJNA340216	SAMN05710183	SRX2058877	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/008/SRR4074268/SRR4074268.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/008/SRR4074268	
SRR4074296	PRJNA340216	SAMN05710186	SRX2058884	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/006/SRR4074296/SRR4074296.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/006/SRR4074296	
SRR4074314	PRJNA340216	SAMN05710188	SRX2058888	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/004/SRR4074314/SRR4074314.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/004/SRR4074314	
SRR4074332	PRJNA340216	SAMN05710190	SRX2058892	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/002/SRR4074332/SRR4074332.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/002/SRR4074332	
SRR4074341	PRJNA340216	SAMN05710191	SRX2058895	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/001/SRR4074341/SRR4074341.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/001/SRR4074341	
SRR4074350	PRJNA340216	SAMN05710192	SRX2058897	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/000/SRR4074350/SRR4074350.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/000/SRR4074350	
SRR4074351	PRJNA340216	SAMN05710169	SRX2058898	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/001/SRR4074351/SRR4074351.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/001/SRR4074351	
SRR4074263	PRJNA340216	SAMN05710178	SRX2058872	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/003/SRR4074263/SRR4074263.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/003/SRR4074263	
SRR4074265	PRJNA340216	SAMN05710180	SRX2058874	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/005/SRR4074265/SRR4074265.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/005/SRR4074265	
SRR4074266	PRJNA340216	SAMN05710181	SRX2058875	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/006/SRR4074266/SRR4074266.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/006/SRR4074266	
SRR4074269	PRJNA340216	SAMN05710184	SRX2058878	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/009/SRR4074269/SRR4074269.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/009/SRR4074269	
SRR4074305	PRJNA340216	SAMN05710187	SRX2058886	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/005/SRR4074305/SRR4074305.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/005/SRR4074305	
SRR4074352	PRJNA340216	SAMN05710170	SRX2058899	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/002/SRR4074352/SRR4074352.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/002/SRR4074352	
SRR4074355	PRJNA340216	SAMN05710173	SRX2058902	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/005/SRR4074355/SRR4074355.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/005/SRR4074355	
SRR4074356	PRJNA340216	SAMN05710174	SRX2058903	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/006/SRR4074356/SRR4074356.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/006/SRR4074356	
SRR4074357	PRJNA340216	SAMN05710175	SRX2058904	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/007/SRR4074357/SRR4074357.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR407/007/SRR4074357	
