#tool_version=4.0.4	database_version=4.0	min_alignment_length=75	min_mgcs=3	count_mode=INSERT_SCALED	value_type=relative_abundances
mOTU	Taxonomy	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074278_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074296_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074305_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074314_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074323_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074332_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074350_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074353_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074354_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074355_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074356_trimmed_nonhuman.motus.name	/home/projects/22126_NGS/projects/group15/data/motus_out/SRR4074357_trimmed_nonhuman.motus.name
mOTUv4.0_000000	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium duncaniae	0.00350801	0.01394472	0.01080258	0.00211035	0.00204808	0.00186070	0.00193873	0.01530121	0.00401580	0.00032038	0.00634076	0.00117161
mOTUv4.0_000001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Unknown Prevotella mOTUv4.0_000001	0.00051872	0.05377575	0.00000000	0.01765787	0.00000000	0.00009140	0.00006948	0.23381810	0.06515958	0.00013281	0.15612061	0.64057621
mOTUv4.0_000002	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans	0.02727717	0.00124887	0.00694724	0.00035175	0.00227892	0.00035043	0.00182912	0.02174813	0.00155877	0.01333411	0.00203843	0.00166406
mOTUv4.0_000003	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	0.00958437	0.00000000	0.05247513	0.00000000	0.00669140	0.01960703	0.03373068	0.00010136	0.00069092	0.00000000	0.00228939	0.00051470
mOTUv4.0_000004	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	0.00111424	0.00475605	0.01034941	0.00522695	0.01271627	0.00193726	0.00129005	0.01784409	0.00301757	0.00000000	0.00285510	0.00067499
mOTUv4.0_000006	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	0.07717687	0.01755675	0.00007766	0.00995956	0.01122696	0.00414531	0.01048647	0.08937568	0.00269613	0.00004820	0.03816670	0.01866149
mOTUv4.0_000007	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium longum	0.00483082	0.00255262	0.00761694	0.00049804	0.00796633	0.00642808	0.00092319	0.04350319	0.00044688	0.04576799	0.02774657	0.00083987
mOTUv4.0_000008	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A succinatutens_B	0.00000000	0.00000000	0.00000000	0.00224764	0.00000000	0.00000000	0.00838626	0.00372821	0.00393597	0.00000000	0.00818029	0.00000000
mOTUv4.0_000009	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Unknown Streptococcus mOTUv4.0_000009	0.00013212	0.00057790	0.00029740	0.00023544	0.00085957	0.00000000	0.00000000	0.00033328	0.00000000	0.00738222	0.00533744	0.00000000
mOTUv4.0_000011	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900539945	0.00995717	0.00402155	0.00018776	0.00332983	0.00331905	0.00082506	0.00180891	0.00876452	0.00626643	0.00000000	0.02405173	0.00072456
